Area_Name,Year,Group_Code,Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Chandigarh,2004,5, Fire Arms/Explosive Substances,436,1348,25162800,90422400
Chandigarh,2004,6, Other Property,423,766,22582166,27197303
Chandigarh,2004,7, Robbery,703,1465,25124365,51841549
Chandigarh,2005,1,Cattle,0,0,0,0
Chandigarh,2005,2, Electronic Components,67,208,10397545,33034545
Chandigarh,2005,3, Cultural Property including Antiques,8,10,3348830,7692620
Chandigarh,2005,4,Motor Vehicles,141,265,1326900,3308350
Chandigarh,2005,5, Fire Arms/Explosive Substances,402,1158,32795750,92815730
Chandigarh,2005,6, Other Property,545,1092,6993141,20366599
Chandigarh,2005,7, Robbery,595,1385,17508950,52859536
Chandigarh,2005,8, Criminal Breach of Trust,22,41,2560950,7703068
Chandigarh,2006,1,Cattle,2,2,35000,35000
Chandigarh,2006,2, Electronic Components,50,158,4730000,17899000
Chandigarh,2006,3, Cultural Property including Antiques,8,10,1295000,1645000
Chandigarh,2006,4,Motor Vehicles,145,291,1194800,1949050
Chandigarh,2006,5, Fire Arms/Explosive Substances,350,1058,16637000,49665400
Chandigarh,2006,6, Other Property,585,957,20131169,36109446
Chandigarh,2006,7, Robbery,628,1269,14070975,36795100
Chandigarh,2006,8, Criminal Breach of Trust,35,59,11670864,16002635
Chandigarh,2007,1,Cattle,1,1,30000,30000
Chandigarh,2007,2, Electronic Components,96,357,14831000,60154000
Chandigarh,2007,3, Cultural Property including Antiques,7,22,600000,2225000
Chandigarh,2007,4,Motor Vehicles,133,326,1351300,3853500
Chandigarh,2007,5, Fire Arms/Explosive Substances,444,1706,37244000,141497000
Chandigarh,2007,6, Other Property,536,1214,11698560,27197057
Chandigarh,2007,7, Robbery,645,1779,25035350,86474230
Chandigarh,2007,8, Criminal Breach of Trust,16,38,1915510,3058877
Chandigarh,2008,1,Cattle,1,4,50000,135000
Chandigarh,2008,2, Electronic Components,115,441,16036500,54399500
Chandigarh,2008,3, Cultural Property including Antiques,1,6,275000,925000
Chandigarh,2008,4,Motor Vehicles,125,340,1872100,4132900
Chandigarh,2008,5, Fire Arms/Explosive Substances,488,2188,40245000,142316000
Chandigarh,2008,6, Other Property,538,1296,20873461,45645738
Chandigarh,2008,7, Robbery,591,2015,28340246,87026521
Chandigarh,2008,8, Criminal Breach of Trust,16,37,10373722,18228424
Chandigarh,2009,1,Cattle,0,1,0,25000
Chandigarh,2009,2, Electronic Components,76,473,11448000,56525500
Chandigarh,2009,3, Cultural Property including Antiques,1,3,275000,675000
Chandigarh,2009,4,Motor Vehicles,110,308,783400,4539300
Chandigarh,2009,5, Fire Arms/Explosive Substances,550,2234,27888000,138874600
Chandigarh,2009,6, Other Property,371,1076,13865960,37188863
Chandigarh,2009,7, Robbery,521,1762,21922770,85181103
Chandigarh,2009,8, Criminal Breach of Trust,12,38,1368760,4296050
Chandigarh,2010,1,Cattle,2,5,202000,304000
Chandigarh,2010,2, Electronic Components,78,360,13708000,46124200
Chandigarh,2010,3, Cultural Property including Antiques,3,7,800000,1600000
Chandigarh,2010,4,Motor Vehicles,72,228,412200,2556600
Chandigarh,2010,5, Fire Arms/Explosive Substances,512,1796,82596000,168389000
Chandigarh,2010,6, Other Property,501,1162,12746543,37364529
Chandigarh,2010,7, Robbery,525,1553,46502523,101163596
Chandigarh,2010,8, Criminal Breach of Trust,5,23,280000,1356000
Chhattisgarh,2001,1,Cattle,140,339,703066,1455696
Chhattisgarh,2001,2, Electronic Components,106,399,6039552,11646119
Chhattisgarh,2001,3, Cultural Property including Antiques,30,47,1949941,2563336
Chhattisgarh,2001,4,Motor Vehicles,296,734,922209,2677634
Chhattisgarh,2001,5, Fire Arms/Explosive Substances,830,1884,28293332,51049948
Chhattisgarh,2001,6, Other Property,2558,7951,22910269,87050037
Chhattisgarh,2001,7, Robbery,1907,5237,26830321,61570427
Chhattisgarh,2002,1,Cattle,150,351,1825102,1995311
Chhattisgarh,2002,2, Electronic Components,120,363,5700409,11645629
Chhattisgarh,2002,3, Cultural Property including Antiques,40,262,3723984,6031976
Chhattisgarh,2002,4,Motor Vehicles,263,540,1058957,4996217
Chhattisgarh,2002,5, Fire Arms/Explosive Substances,642,2252,29595838,58273478
Chhattisgarh,2002,6, Other Property,2300,6527,23746958,140614765
Chhattisgarh,2002,7, Robbery,2067,4772,30714272,77090906
Chhattisgarh,2003,1,Cattle,129,270,842600,1765851
Chhattisgarh,2003,2, Electronic Components,63,234,6232048,10429520
Chhattisgarh,2003,3, Cultural Property including Antiques,23,283,1793305,4044000
Chhattisgarh,2003,4,Motor Vehicles,184,472,1237432,3172808
Chhattisgarh,2003,5, Fire Arms/Explosive Substances,780,2262,40191990,187868044
Chhattisgarh,2003,6, Other Property,2159,6846,21008923,59066635
Chhattisgarh,2003,7, Robbery,1629,4641,32605430,77675366
Chhattisgarh,2004,1,Cattle,93,245,579728,1579910
Chhattisgarh,2004,2, Electronic Components,61,259,2094717,3624839
Chhattisgarh,2004,3, Cultural Property including Antiques,64,129,5632005,11568313
Chhattisgarh,2004,4,Motor Vehicles,257,512,1311360,3136493
Chhattisgarh,2004,5, Fire Arms/Explosive Substances,1004,2632,35438784,73818122
Chhattisgarh,2004,6, Other Property,2629,9533,49565324,170192580
Chhattisgarh,2004,7, Robbery,2054,5483,58796969,146172503
Chhattisgarh,2005,1,Cattle,101,225,1246220,2595679
Chhattisgarh,2005,2, Electronic Components,89,225,5477006,14349470
Chhattisgarh,2005,3, Cultural Property including Antiques,73,110,17958403,22649523
Chhattisgarh,2005,4,Motor Vehicles,159,409,568089,3784342
Chhattisgarh,2005,5, Fire Arms/Explosive Substances,1284,3238,71471702,150673456
Chhattisgarh,2005,6, Other Property,2918,7982,108186999,207203081
Chhattisgarh,2005,7, Robbery,2381,6205,129004139,216450116
Chhattisgarh,2005,8, Criminal Breach of Trust,59,105,1478929,8747070
Chhattisgarh,2006,1,Cattle,108,256,1132160,2092621
Chhattisgarh,2006,2, Electronic Components,89,249,7600548,18817987
Chhattisgarh,2006,3, Cultural Property including Antiques,52,138,9016736,13743436
Chhattisgarh,2006,4,Motor Vehicles,198,429,1163432,3767757
Chhattisgarh,2006,5, Fire Arms/Explosive Substances,1138,3330,58020436,146642086
Chhattisgarh,2006,6, Other Property,2702,7336,55389634,297112689
Chhattisgarh,2006,7, Robbery,2279,5861,57786615,228776782
Chhattisgarh,2006,8, Criminal Breach of Trust,47,130,4973985,16808504
Chhattisgarh,2007,1,Cattle,86,197,979069,1776946
Chhattisgarh,2007,2, Electronic Components,121,319,11003071,32201696
Chhattisgarh,2007,3, Cultural Property including Antiques,58,150,14260215,18776601
Chhattisgarh,2007,4,Motor Vehicles,258,523,1544306,4510251
Chhattisgarh,2007,5, Fire Arms/Explosive Substances,1432,3866,75074916,169453798
Chhattisgarh,2007,6, Other Property,2560,7106,110784486,283529097
Chhattisgarh,2007,7, Robbery,2291,5923,109956770,227658321
Chhattisgarh,2007,8, Criminal Breach of Trust,54,140,10931853,30978819
Chhattisgarh,2008,1,Cattle,78,182,872382,1844717
Chhattisgarh,2008,2, Electronic Components,218,632,10860560,33558103
Chhattisgarh,2008,3, Cultural Property including Antiques,32,68,14425966,22716221
Chhattisgarh,2008,4,Motor Vehicles,227,526,2479821,6484942
Chhattisgarh,2008,5, Fire Arms/Explosive Substances,1210,4236,80030470,187710488
Chhattisgarh,2008,6, Other Property,2769,8208,89195142,316301853
Chhattisgarh,2008,7, Robbery,2313,6703,94210630,215365671
Chhattisgarh,2008,8, Criminal Breach of Trust,50,146,17199111,49003223
Chhattisgarh,2009,1,Cattle,60,163,1455030,3711630
Chhattisgarh,2009,2, Electronic Components,130,428,15151895,49308669
Chhattisgarh,2009,3, Cultural Property including Antiques,31,70,21523127,29764683
Chhattisgarh,2009,4,Motor Vehicles,153,391,1715433,7496631
Chhattisgarh,2009,5, Fire Arms/Explosive Substances,1378,4376,119508898,251633694
Chhattisgarh,2009,6, Other Property,2950,7997,83413405,307587791
Chhattisgarh,2009,7, Robbery,2337,6480,107793169,249736008
Chhattisgarh,2009,8, Criminal Breach of Trust,63,166,9361355,22868913
Chhattisgarh,2010,1,Cattle,64,187,1098000,3561800
Chhattisgarh,2010,2, Electronic Components,109,335,19213486,46366211
Chhattisgarh,2010,3, Cultural Property including Antiques,43,139,20576554,41764474
Chhattisgarh,2010,4,Motor Vehicles,165,424,1463352,5195588
Chhattisgarh,2010,5, Fire Arms/Explosive Substances,1206,4278,116448000,254813004
Chhattisgarh,2010,6, Other Property,2835,7819,85064585,372924888
Chhattisgarh,2010,7, Robbery,2255,6479,94398108,288344474
Chhattisgarh,2010,8, Criminal Breach of Trust,77,196,10460322,37444239
Dadra & Nagar Haveli,2001,1,Cattle,0,0,0,0
Dadra & Nagar Haveli,2001,2, Electronic Components,7,9,473792,562392
Dadra & Nagar Haveli,2001,3, Cultural Property including Antiques,0,1,0,325000
Dadra & Nagar Haveli,2001,4,Motor Vehicles,7,23,103140,393921
Dadra & Nagar Haveli,2001,5, Fire Arms/Explosive Substances,10,30,518300,1719080
Dadra & Nagar Haveli,2001,6, Other Property,27,73,4955134,13121525
Dadra & Nagar Haveli,2001,7, Robbery,21,47,1013142,1731973
Dadra & Nagar Haveli,2002,1,Cattle,1,1,2500,2500
Dadra & Nagar Haveli,2002,2, Electronic Components,4,16,230000,5376320
Dadra & Nagar Haveli,2002,3, Cultural Property including Antiques,0,0,0,0
Dadra & Nagar Haveli,2002,4,Motor Vehicles,13,27,226931,366931
Dadra & Nagar Haveli,2002,5, Fire Arms/Explosive Substances,40,74,1505200,5659660
Dadra & Nagar Haveli,2002,6, Other Property,40,65,5546620,8707889
Dadra & Nagar Haveli,2002,7, Robbery,43,74,2688430,5351810
Dadra & Nagar Haveli,2003,1,Cattle,0,0,0,0
Dadra & Nagar Haveli,2003,2, Electronic Components,10,18,401500,438470
Dadra & Nagar Haveli,2003,3, Cultural Property including Antiques,0,0,0,0
Dadra & Nagar Haveli,2003,4,Motor Vehicles,3,11,12551,127640
Dadra & Nagar Haveli,2003,5, Fire Arms/Explosive Substances,16,28,847000,1188640
Dadra & Nagar Haveli,2003,6, Other Property,49,105,7841091,85990976
Dadra & Nagar Haveli,2003,7, Robbery,32,71,930920,50731520
Dadra & Nagar Haveli,2004,1,Cattle,0,0,0,0
Dadra & Nagar Haveli,2004,2, Electronic Components,4,9,358668,1527084
Dadra & Nagar Haveli,2004,3, Cultural Property including Antiques,4,4,974791,974791
Dadra & Nagar Haveli,2004,4,Motor Vehicles,3,6,209000,339300
Dadra & Nagar Haveli,2004,5, Fire Arms/Explosive Substances,28,48,3640918,6157374
Dadra & Nagar Haveli,2004,6, Other Property,37,100,5530287,623087268
Dadra & Nagar Haveli,2004,7, Robbery,31,58,1367567,3626600
Dadra & Nagar Haveli,2005,1,Cattle,0,0,0,0
Dadra & Nagar Haveli,2005,2, Electronic Components,8,14,759485,2490385
Dadra & Nagar Haveli,2005,3, Cultural Property including Antiques,5,5,2095000,2095000
Dadra & Nagar Haveli,2005,4,Motor Vehicles,4,8,27000,285000
Dadra & Nagar Haveli,2005,5, Fire Arms/Explosive Substances,16,44,4312000,8164400
Dadra & Nagar Haveli,2005,6, Other Property,53,95,15921940,23423140
Dadra & Nagar Haveli,2005,7, Robbery,42,79,2651255,6492355
Dadra & Nagar Haveli,2005,8, Criminal Breach of Trust,8,12,5243420,7514220
Dadra & Nagar Haveli,2006,1,Cattle,0,0,0,0
Dadra & Nagar Haveli,2006,2, Electronic Components,2,5,480000,879000
Dadra & Nagar Haveli,2006,3, Cultural Property including Antiques,0,0,0,0
Dadra & Nagar Haveli,2006,4,Motor Vehicles,5,11,156060,522950
Dadra & Nagar Haveli,2006,5, Fire Arms/Explosive Substances,16,30,1189600,2208600
Dadra & Nagar Haveli,2006,6, Other Property,44,134,9114550,72761410
Dadra & Nagar Haveli,2006,7, Robbery,39,71,5272840,9477100
Dadra & Nagar Haveli,2006,8, Criminal Breach of Trust,5,30,3698350,53254433
Dadra & Nagar Haveli,2007,1,Cattle,0,0,0,0
Dadra & Nagar Haveli,2007,2, Electronic Components,16,32,17123350,27983320
Dadra & Nagar Haveli,2007,3, Cultural Property including Antiques,1,2,130000,1150000
Dadra & Nagar Haveli,2007,4,Motor Vehicles,2,10,12974260,13161420
Dadra & Nagar Haveli,2007,5, Fire Arms/Explosive Substances,8,38,480000,3883180
Dadra & Nagar Haveli,2007,6, Other Property,47,96,9404300,34924033
Dadra & Nagar Haveli,2007,7, Robbery,42,91,7209880,11663986
Dadra & Nagar Haveli,2007,8, Criminal Breach of Trust,9,17,30213260,42084478
Dadra & Nagar Haveli,2008,1,Cattle,0,0,0,0
Dadra & Nagar Haveli,2008,2, Electronic Components,7,18,2761317,10781516
Dadra & Nagar Haveli,2008,3, Cultural Property including Antiques,1,10,60000,5435437
Dadra & Nagar Haveli,2008,4,Motor Vehicles,11,16,576749,1776156
Dadra & Nagar Haveli,2008,5, Fire Arms/Explosive Substances,8,38,398000,12997872
Dadra & Nagar Haveli,2008,6, Other Property,57,110,4334153,28285924
Dadra & Nagar Haveli,2008,7, Robbery,28,55,1349523,5604584
Dadra & Nagar Haveli,2008,8, Criminal Breach of Trust,6,10,4640633,17271204
Dadra & Nagar Haveli,2009,1,Cattle,0,0,0,0
Dadra & Nagar Haveli,2009,2, Electronic Components,8,19,4851913,7552345
Dadra & Nagar Haveli,2009,3, Cultural Property including Antiques,0,3,0,981000
Dadra & Nagar Haveli,2009,4,Motor Vehicles,8,16,102800,676670
Dadra & Nagar Haveli,2009,5, Fire Arms/Explosive Substances,10,46,2760000,8456300
Dadra & Nagar Haveli,2009,6, Other Property,57,126,5819133,66144182
Dadra & Nagar Haveli,2009,7, Robbery,27,74,3968408,12672059
Dadra & Nagar Haveli,2009,8, Criminal Breach of Trust,9,17,4264187,12792400
Dadra & Nagar Haveli,2010,1,Cattle,0,0,0,0
Dadra & Nagar Haveli,2010,2, Electronic Components,5,15,622674,2948507
Dadra & Nagar Haveli,2010,3, Cultural Property including Antiques,1,5,460000,2441000
Dadra & Nagar Haveli,2010,4,Motor Vehicles,7,14,202440,446299
Dadra & Nagar Haveli,2010,5, Fire Arms/Explosive Substances,20,68,2228000,9697920
Dadra & Nagar Haveli,2010,6, Other Property,39,84,3374848,38762375
Dadra & Nagar Haveli,2010,7, Robbery,20,68,1303700,7645567
Dadra & Nagar Haveli,2010,8, Criminal Breach of Trust,7,12,1292551,4846741
Daman & Diu,2001,1,Cattle,0,0,0,0
Daman & Diu,2001,2, Electronic Components,5,11,805194,1095887
Daman & Diu,2001,3, Cultural Property including Antiques,0,0,0,0
Daman & Diu,2001,4,Motor Vehicles,0,5,0,187700
Daman & Diu,2001,5, Fire Arms/Explosive Substances,16,48,1721388,2452520
Daman & Diu,2001,6, Other Property,11,64,1333300,15986855
Daman & Diu,2001,7, Robbery,12,39,934194,1622887
Daman & Diu,2002,1,Cattle,0,0,0,0
Daman & Diu,2002,2, Electronic Components,5,9,1182000,1931984
Daman & Diu,2002,3, Cultural Property including Antiques,0,0,0,0
Daman & Diu,2002,4,Motor Vehicles,6,7,1731900,1752200
Daman & Diu,2002,5, Fire Arms/Explosive Substances,38,72,3300500,4494894
Daman & Diu,2002,6, Other Property,20,92,2395126,18750141
Daman & Diu,2002,7, Robbery,24,59,1767100,3225651
Daman & Diu,2003,1,Cattle,0,0,0,0
Daman & Diu,2003,2, Electronic Components,1,7,150000,650710
Daman & Diu,2003,3, Cultural Property including Antiques,0,0,0,0
Daman & Diu,2003,4,Motor Vehicles,5,19,128911,546761
Daman & Diu,2003,5, Fire Arms/Explosive Substances,26,50,1028100,1877438
Daman & Diu,2003,6, Other Property,15,65,7985718,21238935
Daman & Diu,2003,7, Robbery,25,51,6217268,10336514
Daman & Diu,2004,1,Cattle,0,0,0,0
Daman & Diu,2004,2, Electronic Components,4,11,295300,848200
Daman & Diu,2004,3, Cultural Property including Antiques,0,0,0,0
Daman & Diu,2004,4,Motor Vehicles,1,9,7000,254100
Daman & Diu,2004,5, Fire Arms/Explosive Substances,10,24,410000,1304800
Daman & Diu,2004,6, Other Property,13,48,376300,4093125
Daman & Diu,2004,7, Robbery,13,28,654500,1401700
Daman & Diu,2005,1,Cattle,0,0,0,0
Daman & Diu,2005,2, Electronic Components,1,12,225000,2066545
Daman & Diu,2005,3, Cultural Property including Antiques,2,5,76500,154960
Daman & Diu,2005,4,Motor Vehicles,2,10,244000,406850
Daman & Diu,2005,5, Fire Arms/Explosive Substances,14,54,543000,4454836
Daman & Diu,2005,6, Other Property,16,58,461343,5158428
Daman & Diu,2005,7, Robbery,13,54,369000,4424633
Daman & Diu,2005,8, Criminal Breach of Trust,4,6,377843,1501283
Daman & Diu,2006,1,Cattle,1,1,19200,19200
Daman & Diu,2006,2, Electronic Components,6,27,570500,4504795
Daman & Diu,2006,3, Cultural Property including Antiques,0,0,0,0
Daman & Diu,2006,4,Motor Vehicles,1,16,12000,642200
Daman & Diu,2006,5, Fire Arms/Explosive Substances,14,66,1227600,8069540
Daman & Diu,2006,6, Other Property,15,84,2313340,13616015
Daman & Diu,2006,7, Robbery,16,72,1051150,7863105
Daman & Diu,2006,8, Criminal Breach of Trust,2,9,577500,5017655
Daman & Diu,2007,1,Cattle,0,0,0,0
Daman & Diu,2007,2, Electronic Components,5,24,2002900,7523180
Daman & Diu,2007,3, Cultural Property including Antiques,0,1,0,800000
Daman & Diu,2007,4,Motor Vehicles,1,3,81300,267800
Daman & Diu,2007,5, Fire Arms/Explosive Substances,14,56,1149100,7930560
Daman & Diu,2007,6, Other Property,7,61,6350000,36879175
Daman & Diu,2007,7, Robbery,8,48,604550,6230610
Daman & Diu,2007,8, Criminal Breach of Trust,2,5,1100000,1625025
Daman & Diu,2008,1,Cattle,0,0,0,0
Daman & Diu,2008,2, Electronic Components,5,13,2071000,5758680
Daman & Diu,2008,3, Cultural Property including Antiques,0,0,0,0
Daman & Diu,2008,4,Motor Vehicles,2,5,87000,166740
Daman & Diu,2008,5, Fire Arms/Explosive Substances,28,64,4672800,11372590
Daman & Diu,2008,6, Other Property,14,68,1778000,40031135
Daman & Diu,2008,7, Robbery,21,55,2887600,9506995
Daman & Diu,2008,8, Criminal Breach of Trust,0,4,0,14367990
Daman & Diu,2009,1,Cattle,0,0,0,0
Daman & Diu,2009,2, Electronic Components,5,13,1043295,4622320
Daman & Diu,2009,3, Cultural Property including Antiques,0,0,0,0
Daman & Diu,2009,4,Motor Vehicles,0,5,0,304600
Daman & Diu,2009,5, Fire Arms/Explosive Substances,10,62,404290,3121410
Daman & Diu,2009,6, Other Property,9,39,3275900,7498467
Daman & Diu,2009,7, Robbery,11,45,233185,2594320
Daman & Diu,2009,8, Criminal Breach of Trust,1,6,1045655,2845270
Daman & Diu,2010,1,Cattle,0,0,0,0
Daman & Diu,2010,2, Electronic Components,8,13,1534585,4591750
Daman & Diu,2010,3, Cultural Property including Antiques,1,1,1400000,1400000
Daman & Diu,2010,4,Motor Vehicles,1,2,10000,77000
Daman & Diu,2010,5, Fire Arms/Explosive Substances,22,56,4096000,5563334
Daman & Diu,2010,6, Other Property,13,45,2276500,7050985
Daman & Diu,2010,7, Robbery,24,53,4850585,9001312
Daman & Diu,2010,8, Criminal Breach of Trust,1,4,10000,149000
Delhi,2001,1,Cattle,25,68,159500,1211300
Delhi,2001,2, Electronic Components,1162,4112,73867521,401539380
Delhi,2001,3, Cultural Property including Antiques,175,649,10277178,132035322
Delhi,2001,4,Motor Vehicles,260,1382,772910,16081433
Delhi,2001,5, Fire Arms/Explosive Substances,4028,15780,194113656,1267208788
Delhi,2001,6, Other Property,4161,17498,133949709,2317039353
Delhi,2001,7, Robbery,4526,19948,155688579,957761434
Delhi,2002,1,Cattle,3,31,45000,552100
Delhi,2002,2, Electronic Components,896,3679,39129870,322019115
Delhi,2002,3, Cultural Property including Antiques,101,511,12777321,207920039
Delhi,2002,4,Motor Vehicles,276,1168,914000,24171814
Delhi,2002,5, Fire Arms/Explosive Substances,3292,14868,119900400,1260144220
Delhi,2002,6, Other Property,8089,16704,44552624,2129533383
Delhi,2002,7, Robbery,5486,17174,82849953,957726854
Delhi,2003,1,Cattle,5,20,161800,596900
Delhi,2003,2, Electronic Components,670,3705,12537300,74590800
Delhi,2003,3, Cultural Property including Antiques,216,459,23311200,518626869
Delhi,2003,4,Motor Vehicles,209,787,761368,11403855
Delhi,2003,5, Fire Arms/Explosive Substances,2854,14890,77482400,1215893738
Delhi,2003,6, Other Property,7770,15233,49580465,2065134569
Delhi,2003,7, Robbery,5313,16013,57079032,906010493
Delhi,2004,1,Cattle,6,29,47800,813900
Delhi,2004,2, Electronic Components,658,3878,9768000,80834900
Delhi,2004,3, Cultural Property including Antiques,155,681,30377750,647290186
Delhi,2004,4,Motor Vehicles,196,779,1062050,19646020
Delhi,2004,5, Fire Arms/Explosive Substances,3346,17746,90617500,1535420372
Delhi,2004,6, Other Property,9681,18290,98986656,1953666943
Delhi,2004,7, Robbery,6666,19485,72958495,1600670619
Delhi,2005,1,Cattle,15,44,172950,1096500
Delhi,2005,2, Electronic Components,792,3527,13191800,89470478
Delhi,2005,3, Cultural Property including Antiques,468,773,22986250,547262635
Delhi,2005,4,Motor Vehicles,338,1079,1808310,14101805
Delhi,2005,5, Fire Arms/Explosive Substances,4498,17724,81456500,1326605270
Delhi,2005,6, Other Property,10122,18010,59353515,2099671877
Delhi,2005,7, Robbery,7248,18492,76748828,1054681729
Delhi,2005,8, Criminal Breach of Trust,159,394,1910000,69538509
Delhi,2006,1,Cattle,8,23,111500,1037500
Delhi,2006,2, Electronic Components,720,4262,13320600,87566145
Delhi,2006,3, Cultural Property including Antiques,487,673,27349020,623972848
Delhi,2006,4,Motor Vehicles,318,791,8188278,92923011
Delhi,2006,5, Fire Arms/Explosive Substances,4120,18732,98558040,1503125696
Delhi,2006,6, Other Property,9562,17261,87745058,2787043241
Delhi,2006,7, Robbery,6599,18053,87760870,1196237411
Delhi,2006,8, Criminal Breach of Trust,162,442,21473070,147797958
Delhi,2007,1,Cattle,11,28,126900,795200
Delhi,2007,2, Electronic Components,589,3710,27863053,411945876
Delhi,2007,3, Cultural Property including Antiques,472,620,21667761,147095637
Delhi,2007,4,Motor Vehicles,277,959,1999990,19517740
Delhi,2007,5, Fire Arms/Explosive Substances,3564,17748,118094374,1375167684
Delhi,2007,6, Other Property,7429,17334,44160149,1710147238
Delhi,2007,7, Robbery,6198,17628,75892873,1006356378
Delhi,2007,8, Criminal Breach of Trust,167,451,9096680,124954720
Delhi,2008,1,Cattle,5,22,42000,338000
Delhi,2008,2, Electronic Components,497,4469,11418850,499804248
Delhi,2008,3, Cultural Property including Antiques,100,696,17603154,29460670
Delhi,2008,4,Motor Vehicles,255,969,1120250,15181800
Delhi,2008,5, Fire Arms/Explosive Substances,2680,22040,92022320,1554879942
Delhi,2008,6, Other Property,4896,15361,63865843,4924706280
Delhi,2008,7, Robbery,4256,19432,81511294,1272391831
Delhi,2008,8, Criminal Breach of Trust,100,355,2512000,66787480
Delhi,2009,1,Cattle,6,38,320000,1640000
Delhi,2009,2, Electronic Components,595,4849,26099520,518538982
Delhi,2009,3, Cultural Property including Antiques,142,691,26528190,237717250
Delhi,2009,4,Motor Vehicles,309,1051,1718400,20599200
Delhi,2009,5, Fire Arms/Explosive Substances,3772,26448,146644720,1898348406
Delhi,2009,6, Other Property,5139,14633,191775052,12072326413
Delhi,2009,7, Robbery,4752,22282,164957458,2105098426
Delhi,2009,8, Criminal Breach of Trust,106,333,26063598,168282309
Delhi,2010,1,Cattle,1,24,172000,1487000
Delhi,2010,2, Electronic Components,615,5439,35258573,534470713
Delhi,2010,3, Cultural Property including Antiques,105,600,11601809,190923260
Delhi,2010,4,Motor Vehicles,255,987,2804236,20933466
Delhi,2010,5, Fire Arms/Explosive Substances,3848,29932,149985386,2151102580
Delhi,2010,6, Other Property,5314,14607,164972955,5295112092
Delhi,2010,7, Robbery,4971,23719,142732289,1729500667
Delhi,2010,8, Criminal Breach of Trust,80,273,7227255,71945074
Goa,2001,1,Cattle,2,3,23000,24925
Goa,2001,2, Electronic Components,20,52,3510580,5490981
Goa,2001,3, Cultural Property including Antiques,2,3,380000,566905
Goa,2001,4,Motor Vehicles,32,134,472125,3111913
Goa,2001,5, Fire Arms/Explosive Substances,170,354,11636644,20920100
Goa,2001,6, Other Property,167,695,3163079,348265267
Goa,2001,7, Robbery,216,603,6895251,20789842
Goa,2002,1,Cattle,0,0,0,0
Goa,2002,2, Electronic Components,11,32,1478750,2508442
Goa,2002,3, Cultural Property including Antiques,4,5,2400000,3100000
Goa,2002,4,Motor Vehicles,37,137,797198,3359213
Goa,2002,5, Fire Arms/Explosive Substances,82,298,9560018,18984130
Goa,2002,6, Other Property,137,697,5482109,90384981
Goa,2002,7, Robbery,144,520,6660183,18391107
Goa,2003,1,Cattle,1,1,6000,6000
Goa,2003,2, Electronic Components,15,31,1059699,2723913
Goa,2003,3, Cultural Property including Antiques,3,3,320000,320000
Goa,2003,4,Motor Vehicles,57,113,1647220,3524330
Goa,2003,5, Fire Arms/Explosive Substances,90,272,4949654,12918138
Goa,2003,6, Other Property,215,652,4315584,463266029
Goa,2003,7, Robbery,203,483,4025648,15262448
Goa,2004,1,Cattle,2,2,73500,78000
Goa,2004,2, Electronic Components,11,18,448000,1488096
Goa,2004,3, Cultural Property including Antiques,2,4,1650000,3045000
Goa,2004,4,Motor Vehicles,48,131,465577,2872480
Goa,2004,5, Fire Arms/Explosive Substances,88,250,6852426,16735348
Goa,2004,6, Other Property,218,631,5860466,135502194
Goa,2004,7, Robbery,217,515,5276722,17781500
Goa,2005,1,Cattle,0,0,0,0
Goa,2005,2, Electronic Components,14,44,1947450,9936717
Goa,2005,3, Cultural Property including Antiques,3,6,1728000,4323000
Goa,2005,4,Motor Vehicles,21,81,776371,4652595
Goa,2005,5, Fire Arms/Explosive Substances,120,386,10286362,35913364
Goa,2005,6, Other Property,191,604,8177793,99079843
Goa,2005,7, Robbery,189,517,11127491,35151031
Goa,2005,8, Criminal Breach of Trust,8,42,814936,24107134
Goa,2006,1,Cattle,0,0,0,0
Goa,2006,2, Electronic Components,14,50,3145000,16064502
Goa,2006,3, Cultural Property including Antiques,7,15,4184760,9251760
Goa,2006,4,Motor Vehicles,28,96,754214,3620708
Goa,2006,5, Fire Arms/Explosive Substances,140,454,17560246,61239174
Goa,2006,6, Other Property,141,508,8475282,156700190
Goa,2006,7, Robbery,181,509,10567473,40963635
Goa,2006,8, Criminal Breach of Trust,9,25,3928190,6906420
Goa,2007,1,Cattle,1,1,35000,35000
Goa,2007,2, Electronic Components,15,57,1863300,9193236
Goa,2007,3, Cultural Property including Antiques,3,8,1750000,5565000
Goa,2007,4,Motor Vehicles,27,102,1470928,7506812
Goa,2007,5, Fire Arms/Explosive Substances,130,440,10723432,38511360
Goa,2007,6, Other Property,142,533,10948330,118073960
Goa,2007,7, Robbery,177,513,13685759,58457481
Goa,2007,8, Criminal Breach of Trust,7,25,1192650,26805017
Goa,2008,1,Cattle,2,4,19000,42000
Goa,2008,2, Electronic Components,12,52,6051470,12384629
Goa,2008,3, Cultural Property including Antiques,4,18,2452290,13253290
Goa,2008,4,Motor Vehicles,49,150,2397540,9433247
Goa,2008,5, Fire Arms/Explosive Substances,140,486,18079058,56309584
Goa,2008,6, Other Property,164,659,11696817,98735077
Goa,2008,7, Robbery,202,620,17431794,53648949
Goa,2008,8, Criminal Breach of Trust,6,40,3261600,18853727
Goa,2009,1,Cattle,2,2,40000,40000
Goa,2009,2, Electronic Components,8,57,1190723,6030138
Goa,2009,3, Cultural Property including Antiques,10,17,8450150,16019000
